,Edad,Género,Ingresos,Altura,Ciudad,Nivel_Educación,Hijos
29976,89,F,79105,1.84,New York,PhD,4
29977,76,F,28868,1.96,Phoenix,PhD,4
29978,91,F,20056,1.53,Chicago,None,4
29979,35,M,66955,1.88,New York,PhD,5
29980,13,F,32275,1.9,New York,PhD,0
29981,73,F,64271,1.68,Los Angeles,Master,3
29982,28,M,51247,2.0,Phoenix,None,2
29983,-6,,-1306,1.68,,Bachelors,-1
29984,35,F,69814,1.77,Phoenix,Bachelor,3
29985,48,F,65174,1.73,New York,None,0
29986,100,M,28877,1.53,New York,None,2
29987,31,F,58931,1.96,Phoenix,Master,1
29988,71,M,81842,1.93,Phoenix,Bachelor,1
29989,83,M,63905,1.69,Chicago,None,0
29990,156,,197700,1.98,,Bachelors,-1
29991,8,M,92018,1.94,Chicago,Bachelor,0
29992,80,M,50784,1.7,Houston,None,3
29993,62,M,47574,1.74,Phoenix,Bachelor,5
29994,92,F,62781,1.65,New York,None,5
29995,79,M,99918,1.68,Los Angeles,Bachelor,1
29996,40,F,76027,1.61,Chicago,PhD,3
29997,13,M,65950,1.76,Phoenix,Bachelor,3
29998,192,,-1877,1.89,,pHd,-2
29999,19,M,97053,1.77,New York,Master,0
30000,19,F,21778,1.91,New York,Master,4
30001,97,F,47847,1.57,Los Angeles,None,1
30002,36,F,24550,1.64,Chicago,Bachelor,1
30003,70,M,53809,1.51,Houston,PhD,4
30004,-10,,-1829,1.68,,pHd,-5
30005,197,,177785,1.52,,pHd,-2
30006,76,F,58470,1.97,Phoenix,Master,2
30007,94,F,68901,1.93,Chicago,Bachelor,1
30008,95,M,35884,1.82,Los Angeles,PhD,4
30009,72,F,96868,1.52,Phoenix,Bachelor,2
30010,61,F,89703,1.53,Los Angeles,None,0
30011,20,F,72999,1.57,Chicago,Bachelor,5
30012,96,F,55234,1.61,New York,None,5
30013,50,M,50395,1.52,Chicago,Master,3
30014,-8,,177983,1.66,,Bachelors,-1
30015,74,F,50123,1.7,Houston,Master,4
30016,53,F,77975,1.84,Houston,Bachelor,1
30017,27,F,81711,1.93,New York,Master,1
30018,24,F,90386,1.84,Phoenix,Bachelor,1
30019,23,M,55025,1.58,Chicago,Bachelor,3
30020,-1,,168239,1.95,,no education,-2
30021,11,M,49992,1.5,Los Angeles,PhD,3
30022,64,F,81116,1.92,Phoenix,None,0
30023,39,M,82010,1.76,Chicago,Master,0
30024,19,M,99267,1.94,Chicago,PhD,5
30025,24,M,94603,1.81,Phoenix,Bachelor,0
30026,38,M,21492,1.88,Los Angeles,PhD,0
30027,2,M,79872,1.98,Phoenix,None,4
30028,34,M,93193,1.95,Phoenix,PhD,1
30029,89,M,94869,1.55,Chicago,Bachelor,3
30030,83,F,72438,1.6,Chicago,Master,1
30031,186,,153080,1.63,,pHd,-4
30032,28,M,23497,1.7,New York,Bachelor,1
30033,23,F,31247,1.5,Houston,None,2
30034,54,F,23089,1.67,Chicago,Bachelor,1
30035,13,M,90807,1.94,Phoenix,Bachelor,3
30036,14,M,97147,1.8,Chicago,Bachelor,3
30037,69,F,34858,1.93,Phoenix,None,3
30038,80,F,55607,1.66,New York,Master,2
30039,7,M,40599,1.81,Los Angeles,Master,0
30040,5,F,82842,1.88,Chicago,None,5
30041,25,F,62356,1.86,Phoenix,None,3
30042,40,M,85308,1.54,New York,Master,2
30043,49,M,55691,1.83,Chicago,PhD,2
30044,68,M,60537,1.5,New York,None,5
30045,56,F,59777,1.91,New York,None,2
30046,13,F,97438,1.84,Los Angeles,PhD,4
30047,89,M,81020,1.78,Houston,Master,4
30048,164,,-1403,1.87,,no education,-1
30049,175,,176671,1.89,,Bachelors,-2
30050,194,,-1777,1.73,,mastre,-4
30051,61,M,21365,1.71,Los Angeles,PhD,1
30052,2,F,50666,1.62,Phoenix,None,3
30053,20,F,95483,1.81,Houston,PhD,3
30054,200,,-1435,1.71,,mastre,-4
30055,52,M,64737,1.74,Los Angeles,Master,0
30056,58,M,52396,1.64,Los Angeles,PhD,5
30057,89,F,25275,1.57,Chicago,None,2
30058,84,F,23274,1.81,Phoenix,Master,1
30059,22,F,49600,1.53,Los Angeles,PhD,1
30060,8,M,57303,1.87,New York,Master,3
30061,-6,,198665,1.73,,no education,-2
30062,100,F,80051,1.68,Los Angeles,None,3
30063,5,M,37530,1.72,Chicago,PhD,5
30064,5,F,90520,1.97,New York,Master,4
30065,77,M,92043,1.86,Phoenix,Bachelor,2
30066,43,F,93669,1.78,Los Angeles,Bachelor,0
30067,100,M,20968,1.67,Houston,PhD,5
30068,31,M,24647,1.82,Phoenix,Bachelor,2
30069,51,F,78828,1.91,Houston,PhD,1
30070,54,M,83280,1.74,Houston,Master,5
30071,93,F,47953,1.98,Houston,None,4
30072,-2,,183556,1.86,,Bachelors,-1
30073,9,F,60340,1.73,Chicago,None,4
30074,74,M,42328,1.93,Chicago,Master,2
30075,47,M,25172,1.86,Los Angeles,None,5
30076,26,F,70349,1.52,New York,PhD,1
30077,53,F,29848,1.72,Chicago,None,4
30078,70,M,99844,1.93,Phoenix,Master,5
30079,75,M,94446,1.6,Phoenix,Master,2
30080,4,F,63744,1.56,New York,PhD,1
30081,2,F,65209,1.75,New York,None,0
30082,44,M,34057,1.91,Phoenix,PhD,1
30083,60,M,79291,1.62,Los Angeles,PhD,0
30084,61,M,28730,1.8,Chicago,None,4
30085,78,M,20923,1.84,Phoenix,PhD,0
30086,41,M,92761,1.98,Chicago,None,4
30087,4,M,89708,1.55,Chicago,Bachelor,5
30088,8,F,60838,1.65,New York,Master,5
30089,13,F,58582,1.65,Chicago,PhD,5
30090,182,,-1654,1.72,,mastre,-5
30091,188,,176481,1.54,,no education,-4
30092,18,M,82050,1.92,Phoenix,PhD,3
30093,43,M,33370,1.75,Phoenix,PhD,4
30094,73,F,54678,1.53,Phoenix,Bachelor,5
30095,2,F,66657,1.53,New York,Bachelor,3
30096,4,M,34165,1.7,New York,Bachelor,1
30097,60,M,87877,1.55,Houston,None,3
30098,28,F,87066,1.56,New York,None,0
30099,79,M,54462,1.61,New York,None,2
30100,-7,,-1694,1.62,,Bachelors,-1
30101,12,F,83411,1.86,Phoenix,None,3
30102,25,F,73738,1.75,Chicago,Master,5
30103,97,F,59882,1.78,Phoenix,PhD,3
30104,166,,164663,1.57,,mastre,-4
30105,5,M,42008,1.79,Phoenix,Master,5
30106,84,M,46994,1.8,Los Angeles,None,3
30107,58,M,60687,1.79,Los Angeles,None,2
30108,153,,172105,1.91,,Bachelors,-2
30109,192,,-1070,1.89,,mastre,-5
30110,171,,-1911,1.9,,Bachelors,-4
30111,14,M,51261,1.58,Chicago,Bachelor,1
30112,27,F,75562,1.74,Los Angeles,Bachelor,3
30113,176,,-1462,1.86,,mastre,-1
30114,49,F,92202,1.51,New York,None,3
30115,73,F,37913,1.68,Los Angeles,Master,0
30116,6,M,56525,1.74,Chicago,None,0
30117,96,M,77962,1.89,New York,None,3
30118,66,M,70197,1.69,Chicago,None,3
30119,-5,,186395,1.57,,mastre,-4
30120,10,M,46138,1.54,Phoenix,None,2
30121,84,M,70287,1.74,Chicago,Bachelor,5
30122,50,M,48748,1.9,Houston,Master,4
30123,64,F,33583,1.99,Houston,PhD,3
30124,19,F,29783,1.77,Chicago,Master,3
30125,-9,,170263,1.94,,pHd,-5
30126,-1,,-1319,1.5,,pHd,-3
30127,4,F,28259,1.98,New York,Master,1
30128,33,M,30985,1.5,Los Angeles,Master,2
30129,41,M,50038,1.9,Houston,Master,2
30130,91,M,21988,1.82,Chicago,Bachelor,2
30131,100,M,34216,1.71,Chicago,Bachelor,2
30132,36,M,73242,1.55,New York,PhD,2
30133,96,M,23227,1.95,Los Angeles,PhD,4
30134,53,M,76958,1.61,Los Angeles,None,5
30135,15,F,67385,1.95,Chicago,PhD,4
30136,64,M,22384,1.54,Chicago,None,1
30137,15,M,51136,1.66,Los Angeles,None,0
30138,73,F,78571,1.52,Los Angeles,None,0
30139,22,M,98352,1.96,Chicago,Master,5
30140,71,M,39761,1.76,New York,PhD,1
30141,181,,197776,1.52,,mastre,-3
30142,61,M,75122,1.54,Houston,Master,0
30143,1,F,28438,1.89,Los Angeles,None,3
30144,59,F,49910,1.86,New York,PhD,0
30145,33,F,70136,1.63,New York,Bachelor,1
30146,40,M,41723,1.85,Phoenix,PhD,4
30147,32,F,45972,1.9,Phoenix,Bachelor,2
30148,184,,160047,1.89,,no education,-4
30149,7,M,55724,1.75,Phoenix,None,5
30150,150,,183384,1.55,,pHd,-3
30151,29,F,47735,1.56,Phoenix,None,3
30152,98,F,40682,1.83,Phoenix,Master,5
30153,39,F,58118,1.53,Chicago,PhD,5
30154,38,F,39468,1.87,New York,Master,1
30155,17,F,73744,1.71,Phoenix,None,3
30156,24,F,42215,1.74,Phoenix,Bachelor,2
30157,47,M,81841,1.59,Phoenix,Bachelor,5
30158,19,M,62645,1.91,Los Angeles,Bachelor,0
30159,12,F,35024,1.57,Los Angeles,Master,4
30160,83,M,57978,1.88,Los Angeles,Bachelor,1
30161,51,M,65949,1.61,Houston,PhD,0
30162,2,M,72111,1.6,Los Angeles,None,3
30163,19,F,72170,1.94,New York,Bachelor,3
30164,44,M,47694,1.96,Los Angeles,None,5
30165,24,M,52029,1.71,Phoenix,Bachelor,3
30166,28,F,34137,1.75,Chicago,Master,5
30167,76,F,53179,1.94,Phoenix,None,0
30168,35,F,98372,1.54,New York,PhD,2
30169,97,M,56068,1.82,Los Angeles,Master,3
30170,11,F,37745,1.5,New York,Bachelor,4
30171,19,F,23058,1.71,Los Angeles,None,1
30172,94,M,86945,1.89,Phoenix,Bachelor,5
30173,86,M,53843,1.77,Phoenix,Master,1
30174,94,M,78017,1.82,Los Angeles,None,0
30175,3,F,71323,1.85,New York,Bachelor,0
30176,75,M,54818,1.56,Phoenix,None,1
30177,35,M,87241,1.98,Phoenix,Bachelor,1
30178,40,F,97454,1.51,Los Angeles,PhD,4
30179,95,M,65625,1.67,Chicago,None,3
30180,58,M,67973,1.89,Phoenix,Bachelor,1
30181,61,F,73353,1.74,Los Angeles,PhD,3
30182,24,M,77733,1.54,New York,Bachelor,5
30183,49,M,64837,1.76,Los Angeles,None,4
30184,79,M,41839,1.79,New York,Master,1
30185,3,F,73036,1.81,Phoenix,Bachelor,2
30186,27,F,53423,1.54,New York,Master,3
30187,87,F,82889,1.73,Los Angeles,PhD,5
30188,176,,-1395,1.82,,no education,-2
30189,-6,,168579,1.69,,no education,-1
30190,83,M,63401,1.83,Los Angeles,None,5
30191,81,F,75746,1.69,Houston,PhD,1
30192,181,,192952,1.79,,pHd,-1
30193,41,M,91448,1.59,Chicago,None,2
30194,13,M,85771,1.83,Chicago,PhD,1
30195,29,M,97381,1.97,Houston,PhD,0
30196,17,F,46966,1.85,New York,PhD,4
30197,61,F,70561,1.53,Phoenix,None,1
30198,53,F,33831,1.83,Los Angeles,PhD,5
30199,11,F,80947,1.54,Houston,None,4
30200,84,F,33529,1.96,Chicago,Bachelor,5
30201,60,F,75795,1.9,Phoenix,Bachelor,0
30202,78,F,65510,1.69,Phoenix,None,4
30203,39,M,69565,1.78,Houston,Master,5
30204,-7,,-1800,1.64,,pHd,-2
30205,72,M,71000,1.98,Chicago,None,2
30206,4,M,76126,1.76,Los Angeles,PhD,5
30207,87,F,77223,1.56,Chicago,PhD,4
30208,18,M,62759,1.54,Los Angeles,Master,5
30209,35,F,37192,1.62,Los Angeles,PhD,1
30210,45,F,87086,1.61,Chicago,Master,3
30211,89,F,62621,1.64,Phoenix,None,3
30212,46,M,23337,1.94,Houston,None,2
30213,75,M,52710,1.87,New York,Master,5
30214,70,F,67376,1.94,Houston,Master,4
30215,45,F,66417,1.62,Houston,PhD,2
30216,15,M,97865,1.59,Los Angeles,Bachelor,1
30217,49,M,50605,1.88,New York,Master,3
30218,5,F,70653,1.52,Houston,Bachelor,5
30219,177,,153792,1.63,,no education,-1
30220,14,M,51747,1.86,Los Angeles,Bachelor,5
30221,14,M,63790,1.51,New York,Bachelor,4
30222,74,M,87624,1.69,Chicago,Bachelor,3
30223,86,F,99057,1.87,Los Angeles,PhD,4
30224,15,F,92558,1.75,Los Angeles,None,2
30225,41,M,26371,1.96,Houston,Master,5
30226,69,F,38626,1.63,Chicago,None,2
30227,75,M,71798,1.89,Houston,None,0
30228,168,,195423,1.79,,Bachelors,-2
30229,22,M,39005,1.83,Houston,None,2
30230,56,F,90772,1.73,Houston,PhD,0
30231,195,,-1041,1.98,,no education,-1
30232,52,F,73334,1.75,New York,Bachelor,2
30233,97,F,91885,1.89,Los Angeles,None,3
30234,90,M,29629,1.82,Phoenix,PhD,3
30235,37,M,60631,1.85,Los Angeles,None,2
30236,94,F,94837,1.96,Chicago,None,5
30237,78,F,46499,1.76,Houston,None,1
30238,69,M,68776,1.99,New York,None,0
30239,53,F,75826,1.95,Chicago,PhD,0
30240,33,M,85022,1.82,Los Angeles,Master,2
30241,62,F,27316,1.7,Houston,None,3
30242,72,M,22957,1.59,Chicago,PhD,4
30243,55,M,79974,1.89,Phoenix,Bachelor,3
30244,-4,,192944,1.54,,no education,-4
30245,87,F,50915,1.88,Phoenix,Master,3
30246,54,F,31037,1.92,Los Angeles,Master,2
30247,17,F,38560,1.52,Phoenix,Master,5
30248,28,M,89076,1.94,Los Angeles,Master,3
30249,60,F,92478,1.95,Phoenix,Master,3
30250,49,F,57428,1.58,Phoenix,Bachelor,1
30251,8,F,64350,1.82,Houston,PhD,5
30252,2,F,45719,1.81,Chicago,None,0
30253,65,F,26885,1.92,New York,Master,4
30254,68,M,92341,1.68,Phoenix,Bachelor,5
30255,35,F,59004,1.91,Phoenix,None,5
30256,40,M,44480,1.55,Chicago,Master,4
30257,59,F,31669,1.68,Houston,PhD,1
30258,34,M,90144,1.66,Houston,Master,5
30259,4,M,90058,1.92,New York,PhD,1
30260,66,F,85664,1.73,New York,None,0
30261,96,F,91309,1.94,Chicago,Master,2
30262,-8,,151317,1.53,,mastre,-5
30263,57,M,29376,1.67,New York,Master,0
30264,85,M,45784,1.54,Phoenix,Master,5
30265,72,F,42946,1.72,Chicago,Bachelor,5
30266,12,M,96325,1.97,Los Angeles,Bachelor,4
30267,73,F,87924,1.79,New York,Bachelor,1
30268,15,M,26166,1.96,New York,PhD,4
30269,74,M,51842,1.95,Houston,Bachelor,5
30270,5,M,55248,1.54,Chicago,Bachelor,3
30271,63,F,36085,1.56,New York,Bachelor,0
30272,38,M,92655,1.97,New York,None,2
30273,80,F,57952,1.79,Houston,Master,5
30274,73,F,42786,1.72,Chicago,Master,3
30275,17,F,88957,1.9,Chicago,None,4
30276,11,F,46167,1.54,New York,PhD,3
30277,56,F,73725,1.91,Phoenix,PhD,3
30278,39,F,47462,1.62,New York,PhD,5
30279,6,F,52883,1.94,Chicago,Master,0
30280,7,M,94258,1.55,Los Angeles,None,1
30281,52,F,95535,1.68,Phoenix,Master,4
30282,-4,,196499,1.8,,no education,-4
30283,-1,,-1473,1.67,,no education,-5
30284,-2,,182571,1.85,,Bachelors,-1
30285,98,F,92165,1.57,Chicago,PhD,2
30286,152,,172741,1.7,,mastre,-3
30287,99,M,43323,1.57,Los Angeles,PhD,4
30288,26,F,32550,1.73,Los Angeles,Master,4
30289,51,M,99568,1.78,Phoenix,None,0
30290,-4,,-1393,1.88,,Bachelors,-3
30291,94,F,83914,1.58,Phoenix,None,3
30292,81,F,62090,1.93,Chicago,PhD,0
30293,17,M,89346,1.61,Houston,None,5
30294,26,M,86361,1.7,Chicago,Bachelor,2
30295,42,M,21754,1.86,Houston,Bachelor,3
30296,30,F,54585,1.67,Phoenix,Bachelor,2
30297,36,M,59151,1.54,Los Angeles,PhD,0
30298,70,M,87215,2.0,New York,Bachelor,1
30299,35,M,49344,1.83,Chicago,Master,2
30300,66,F,46348,1.78,New York,PhD,4
30301,56,F,43077,1.68,Los Angeles,Bachelor,0
30302,35,F,46921,1.56,Chicago,PhD,0
30303,-1,,-1138,1.96,,no education,-1
30304,6,F,43250,1.66,Los Angeles,Bachelor,3
30305,65,F,34325,1.87,Los Angeles,PhD,3
30306,21,F,48061,1.97,Houston,Bachelor,5
30307,16,F,77445,1.93,Houston,PhD,4
30308,29,F,59175,1.59,Houston,Master,2
30309,74,M,78880,1.91,New York,None,5
30310,68,M,68114,1.58,Phoenix,Master,1
30311,53,F,27458,1.54,Phoenix,Master,2
30312,41,F,45211,1.54,Chicago,PhD,4
30313,36,F,28371,1.69,Houston,Bachelor,0
30314,56,F,53839,1.54,Houston,None,0
30315,24,F,72876,1.96,Phoenix,Bachelor,1
30316,19,M,53408,1.58,New York,None,1
30317,92,F,46741,1.68,New York,PhD,2
30318,2,M,86063,1.87,Houston,None,4
30319,22,M,82718,1.91,Los Angeles,Bachelor,2
30320,9,F,21954,1.59,Phoenix,PhD,5
30321,22,F,87039,1.61,Los Angeles,Bachelor,3
30322,26,M,36661,1.81,Los Angeles,PhD,5
30323,96,F,32615,1.51,Houston,Bachelor,2
30324,94,M,45600,1.71,New York,Master,1
30325,63,M,83122,1.73,New York,PhD,0
30326,88,F,40225,1.9,Phoenix,Bachelor,1
30327,96,F,90874,1.86,Phoenix,Master,5
30328,19,F,36068,1.8,Phoenix,Bachelor,0
30329,2,M,89865,1.56,Phoenix,PhD,2
30330,46,F,41876,1.94,Phoenix,PhD,4
30331,43,M,83679,1.54,Houston,None,1
30332,1,F,29763,1.65,Phoenix,None,0
30333,27,M,66444,1.77,Los Angeles,PhD,4
30334,98,M,89023,1.8,Houston,Master,2
30335,28,F,57239,1.94,Phoenix,Bachelor,0
30336,1,F,20710,1.77,Los Angeles,Master,2
30337,8,M,31616,1.97,Los Angeles,Master,2
30338,3,M,93449,1.66,Houston,PhD,4
30339,3,F,46677,1.97,Houston,PhD,1
30340,71,F,55464,1.59,Chicago,Master,4
30341,67,F,34410,1.61,Chicago,Bachelor,5
30342,49,M,63507,1.81,Los Angeles,Master,3
30343,32,F,20223,1.69,Los Angeles,Bachelor,4
30344,-4,,151284,1.75,,no education,-2
30345,96,F,25766,1.77,New York,None,2
30346,92,M,71102,1.82,Phoenix,Bachelor,4
30347,52,M,72991,1.79,Houston,Bachelor,1
30348,59,F,23888,1.52,Phoenix,None,4
30349,31,M,88774,1.53,Houston,None,2
30350,76,M,82266,1.76,New York,PhD,0
30351,15,F,98168,1.8,Los Angeles,None,5
30352,79,M,38150,1.8,Los Angeles,Master,5
30353,1,M,74929,1.57,Chicago,None,5
30354,1,F,80763,1.74,New York,Bachelor,3
30355,67,F,62032,1.54,New York,PhD,4
30356,67,M,97372,1.89,Houston,Bachelor,1
30357,74,M,45631,1.53,New York,None,4
30358,99,M,41919,1.55,Los Angeles,Bachelor,5
30359,175,,194967,1.87,,no education,-2
30360,170,,-1926,1.69,,pHd,-2
30361,-5,,175247,1.82,,pHd,-5
30362,16,F,29635,1.71,Phoenix,Bachelor,4
30363,33,M,75236,1.58,Houston,PhD,2
30364,16,F,40113,1.72,Houston,None,2
30365,52,M,62516,1.64,Houston,None,1
30366,1,F,58511,1.64,Los Angeles,None,3
30367,173,,-1344,1.62,,mastre,-4
30368,75,F,26795,1.91,Los Angeles,Bachelor,1
30369,12,F,21003,1.97,Phoenix,None,1
30370,50,F,77624,1.57,Chicago,PhD,5
30371,73,M,68672,1.52,New York,PhD,2
30372,97,F,84799,1.96,Phoenix,PhD,1
30373,95,M,33812,1.59,Houston,None,5
30374,81,M,43108,1.62,Houston,PhD,0
30375,20,M,84468,1.86,Houston,PhD,4
30376,-7,,-1567,1.82,,Bachelors,-2
30377,18,F,73129,1.99,Los Angeles,None,1
30378,88,M,60273,1.59,Chicago,PhD,4
30379,64,M,30521,1.75,Phoenix,PhD,4
30380,26,F,87458,1.83,New York,None,4
30381,59,M,61620,1.6,Houston,Bachelor,2
30382,161,,-1495,1.57,,mastre,-2
30383,75,F,68798,1.93,Chicago,None,0
30384,87,M,42221,1.59,Chicago,None,1
30385,69,M,30508,1.79,Chicago,PhD,0
30386,99,M,42044,2.0,Houston,Master,5
30387,74,M,33484,1.86,Phoenix,Master,1
30388,94,M,71628,1.6,Chicago,PhD,0
30389,59,F,72414,1.7,New York,Bachelor,3
30390,95,M,97215,1.58,Houston,Bachelor,0
30391,92,F,86596,1.67,New York,None,5
30392,80,M,74439,1.72,Los Angeles,PhD,5
30393,6,F,37212,1.7,Los Angeles,Master,1
30394,50,M,54045,1.74,Chicago,None,5
30395,2,M,83208,1.81,Los Angeles,Master,5
30396,70,F,93431,1.83,Chicago,PhD,5
30397,94,M,91985,1.75,New York,Master,3
30398,44,F,21066,1.94,Phoenix,None,1
30399,39,F,41695,1.88,Chicago,Bachelor,3
30400,70,F,36200,1.82,Chicago,Bachelor,0
30401,11,M,67753,1.65,Phoenix,Master,3
30402,71,F,70194,1.74,Phoenix,Bachelor,4
30403,55,M,31864,1.83,New York,Bachelor,1
30404,62,F,21218,1.77,Chicago,Bachelor,4
30405,34,M,44083,1.92,Houston,Master,3
30406,50,M,33679,1.94,Houston,None,5
30407,32,M,68041,1.57,Houston,None,5
30408,6,M,95358,1.9,New York,None,2
30409,7,F,52114,1.84,Houston,PhD,2
30410,3,M,70053,1.64,Houston,Bachelor,1
30411,77,F,60020,1.67,Los Angeles,Bachelor,5
30412,76,M,40146,1.8,Houston,PhD,5
30413,66,M,53063,1.66,Los Angeles,Bachelor,1
30414,36,F,45073,1.76,Phoenix,Bachelor,1
30415,88,M,74207,1.83,New York,Bachelor,2
30416,29,M,99179,1.84,Houston,Master,0
30417,32,M,42000,1.85,New York,PhD,3
30418,56,F,23882,1.61,Chicago,PhD,0
30419,16,M,60928,1.53,New York,None,4
30420,13,M,65397,1.58,Phoenix,None,3
30421,93,F,71591,1.51,Houston,Master,1
30422,32,M,52017,1.55,New York,Master,3
30423,58,M,96589,1.5,Los Angeles,Bachelor,3
30424,158,,175321,1.68,,mastre,-1
30425,13,F,55189,1.87,Phoenix,None,0
30426,67,M,88099,1.82,Phoenix,Bachelor,0
30427,11,F,71476,1.97,Phoenix,Master,5
30428,41,F,48769,1.51,Houston,PhD,2
30429,12,M,43060,1.67,Houston,PhD,2
30430,-10,,175011,1.98,,mastre,-4
30431,78,F,66544,1.52,Phoenix,Master,2
30432,72,M,64217,1.7,Houston,Master,0
30433,83,M,36080,1.64,Chicago,Bachelor,5
30434,48,M,60110,1.77,New York,Master,1
30435,89,M,87910,1.88,Chicago,None,0
30436,34,M,41927,1.73,Phoenix,None,4
30437,-8,,199120,1.77,,Bachelors,-2
30438,-3,,163894,1.77,,Bachelors,-2
30439,188,,195578,1.58,,no education,-1
30440,98,M,75583,1.94,Chicago,PhD,0
30441,74,F,58782,1.97,Los Angeles,None,4
30442,-2,,155695,1.69,,Bachelors,-4
30443,20,F,91009,1.53,Chicago,Bachelor,0
30444,193,,153515,1.68,,mastre,-3
30445,25,F,36121,1.59,Phoenix,PhD,0
30446,82,F,82935,1.66,Houston,None,2
30447,34,M,25966,1.5,Los Angeles,Bachelor,3
30448,86,F,41288,1.72,Phoenix,Master,0
30449,2,M,56193,1.99,New York,None,4
30450,9,F,77064,1.52,Phoenix,None,1
30451,47,M,54571,1.72,Chicago,None,0
30452,27,M,27016,1.96,New York,None,0
30453,42,F,75693,1.9,Chicago,None,5
30454,98,M,35322,1.58,Chicago,Master,0
30455,-9,,174655,1.74,,no education,-3
30456,161,,196283,1.92,,mastre,-1
30457,53,M,55042,1.85,Houston,Master,2
30458,53,F,40717,1.92,Houston,PhD,5
30459,4,F,60281,1.93,Phoenix,None,2
30460,58,F,94309,1.58,Chicago,Master,4
30461,42,M,54561,1.74,Phoenix,None,0
30462,49,F,33261,1.87,New York,Master,3
30463,74,F,87674,1.86,New York,PhD,3
30464,78,M,91001,1.51,Houston,None,5
30465,77,M,32624,1.79,Chicago,None,4
30466,33,F,26863,1.98,Phoenix,PhD,5
30467,37,M,27363,1.89,Phoenix,PhD,1
30468,75,M,94095,1.64,Houston,None,1
30469,91,F,68323,1.97,Phoenix,Master,2
30470,35,M,35528,1.53,New York,None,3
30471,52,M,53617,1.95,Houston,PhD,2
30472,56,F,27461,1.59,Chicago,PhD,2
30473,57,F,55846,1.92,Chicago,Master,3
30474,19,M,21471,1.72,Phoenix,Bachelor,3
30475,92,M,27331,1.89,New York,Bachelor,2
30476,7,M,38898,1.67,Los Angeles,Master,2
30477,13,M,90782,1.52,New York,Bachelor,1
30478,8,M,34798,1.52,Chicago,Bachelor,1
30479,71,M,47010,1.92,New York,Master,1
30480,18,M,36904,1.51,Phoenix,Master,5
30481,35,M,45547,1.98,Phoenix,PhD,2
30482,83,M,54807,1.64,New York,Bachelor,1
30483,93,F,71668,1.7,New York,None,5
30484,3,F,37872,1.58,Chicago,PhD,4
30485,18,F,69169,1.62,New York,Bachelor,3
30486,91,M,30470,1.56,Chicago,None,3
30487,99,F,62814,1.95,Houston,Master,3
30488,70,F,53132,1.9,Houston,PhD,4
30489,12,M,80164,1.62,Chicago,Bachelor,0
30490,89,F,64155,1.83,Phoenix,None,4
30491,65,F,97686,1.56,New York,Master,2
30492,20,F,47446,1.71,Houston,Bachelor,0
30493,18,M,35261,1.82,New York,PhD,1
30494,84,F,57736,1.82,Los Angeles,None,2
30495,29,M,94397,1.97,Houston,PhD,1
30496,66,M,81871,1.93,Phoenix,Master,2
30497,58,F,76792,1.57,New York,Bachelor,1
30498,77,F,94011,1.99,Chicago,None,2
30499,99,F,55265,1.58,Phoenix,PhD,5
30500,37,F,74040,1.82,Phoenix,Master,2
30501,1,F,78936,1.85,New York,PhD,4
30502,20,F,23029,1.74,Chicago,Master,5
30503,51,F,93006,1.81,Phoenix,PhD,1
30504,19,F,38522,1.94,Phoenix,None,4
30505,5,M,84049,1.66,Houston,Master,5
30506,-3,,199994,1.75,,mastre,-5
30507,45,F,29064,1.87,Chicago,Master,2
30508,65,F,48749,1.97,New York,None,5
30509,9,M,91725,1.9,Houston,Master,2
30510,64,F,80366,1.84,Phoenix,PhD,4
30511,34,F,36096,1.87,Houston,PhD,0
30512,-9,,172173,1.59,,pHd,-1
30513,42,F,66594,1.96,Chicago,Master,2
30514,18,M,59856,1.69,Houston,PhD,4
30515,60,M,47243,1.52,Los Angeles,Bachelor,1
30516,30,F,31244,1.65,Houston,Bachelor,4
30517,46,F,58680,1.53,Los Angeles,None,3
30518,82,M,52453,1.64,Los Angeles,PhD,3
30519,25,M,48404,1.57,Phoenix,Bachelor,4
30520,53,F,27700,1.85,New York,Master,2
30521,40,M,42978,1.52,New York,Master,0
30522,21,M,38385,1.7,Chicago,Bachelor,5
30523,29,M,81745,1.94,Houston,PhD,3
30524,188,,-1379,1.57,,mastre,-5
30525,59,M,47129,1.78,Houston,None,1
30526,3,M,32498,1.76,New York,Master,0
30527,2,M,77783,1.91,Chicago,Master,5
30528,38,M,36949,1.69,Phoenix,PhD,5
30529,12,F,34283,1.99,Los Angeles,None,0
30530,21,M,79637,1.94,Los Angeles,Bachelor,0
30531,80,M,23289,1.71,Los Angeles,None,1
30532,13,M,76388,1.52,Phoenix,Master,3
30533,99,F,24221,1.65,Houston,Master,3
30534,72,F,62929,1.53,New York,Master,4
30535,18,M,61374,1.91,Houston,Master,2
30536,71,F,23852,1.75,Los Angeles,Master,4
30537,90,M,49125,1.92,Los Angeles,Bachelor,2
30538,43,F,41872,1.54,Chicago,PhD,1
30539,14,F,91369,1.98,Houston,None,2
30540,71,F,73495,1.98,Los Angeles,None,1
30541,191,,162940,1.95,,pHd,-2
30542,88,M,29888,1.59,Houston,Bachelor,4
30543,54,F,22349,1.71,Phoenix,Master,5
30544,9,M,54132,1.72,New York,Bachelor,1
30545,156,,189576,1.55,,Bachelors,-5
30546,157,,156653,1.71,,Bachelors,-3
30547,81,M,69577,1.77,New York,PhD,5
